Epoch,Train Loss,Validation Loss
1,2.037224531173706,0.9823768734931946
2,0.9751783013343811,0.5943694710731506
3,0.6680936813354492,0.45320966839790344
4,0.5332348942756653,0.3896980285644531
5,0.4586053490638733,0.3528110086917877
6,0.4125368893146515,0.3191903233528137
7,0.37307196855545044,0.29692524671554565
8,0.3425300717353821,0.2807063162326813
9,0.3235566318035126,0.26560983061790466
10,0.3055684566497803,0.24930214881896973
11,0.29397764801979065,0.23944254219532013
12,0.27563419938087463,0.2496650218963623
13,0.27794402837753296,0.21913781762123108
14,0.259416788816452,0.21366770565509796
15,0.24259041249752045,0.20166568458080292
16,0.2339070737361908,0.2028423547744751
17,0.2303929626941681,0.20026393234729767
18,0.22146333754062653,0.1779237538576126
19,0.2129109799861908,0.17352484166622162
20,0.20251159369945526,0.16714027523994446
21,0.20123159885406494,0.16687247157096863
22,0.19088707864284515,0.1586753875017166
23,0.19740642607212067,0.14930854737758636
24,0.18505480885505676,0.1490190476179123
25,0.18477381765842438,0.15754739940166473
26,0.18455471098423004,0.1574857234954834
27,0.1785823106765747,0.14716924726963043
28,0.17323152720928192,0.1424216479063034
29,0.17281314730644226,0.1428491771221161
30,0.1641603410243988,0.13822722434997559
31,0.16083206236362457,0.13390305638313293
32,0.15880140662193298,0.14085423946380615
33,0.16030552983283997,0.13364306092262268
34,0.15380091965198517,0.12669293582439423
35,0.1522844284772873,0.12535053491592407
36,0.15408584475517273,0.1341218501329422
37,0.14989624917507172,0.11825187504291534
38,0.14739640057086945,0.13409826159477234
39,0.14707782864570618,0.13828310370445251
40,0.14206840097904205,0.11761350184679031
41,0.14860627055168152,0.12317005544900894
42,0.14580534398555756,0.11960665136575699
43,0.14174312353134155,0.12177988141775131
